"";"";"Huwen|Huwelijkssluitingen|Totaal huwelijkssluitingen";"Huwen|Huwende personen|Huwende mannen";"Huwen|Huwende personen|Huwende mannen, relatief";"Huwen|Huwende personen|Huwende vrouwen";"Huwen|Huwende personen|Huwende vrouwen, relatief";"Van echt scheidende personen|Van echt scheidende mannen";"Van echt scheidende personen|Van echt scheidende mannen, relatief";"Van echt scheidende personen|Van echt scheidende vrouwen";"Van echt scheidende personen|Van echt scheidende vrouwen, relatief";"Verweduwende personen|Verweduwende mannen";"Verweduwende personen|Verweduwende mannen, relatief";"Verweduwende personen|Verweduwende vrouwen";"Verweduwende personen|Verweduwende vrouwen, relatief"
"Regio's";"Perioden";"aantal";"aantal";"per 1 000 niet-gehuwde mannen";"aantal";"per 1 000 niet-gehuwde vrouwen";"aantal";"per 1 000 gehuwde mannen";"aantal";"per 1 000 gehuwde vrouwen";"aantal";"per 1 000 gehuwde mannen";"aantal";"per 1 000 gehuwde vrouwen"
"Fryslân (PV)";"1993";"3561";"3181";"34,5";"3176";"33,3";"1008";"7,3";"1030";"7,5";"710";"4,6";"1845";"11,9"
"Fryslân (PV)";"1994";"3281";"2929";"31,1";"2929";"30,2";"962";"7,0";"1004";"7,3";"718";"4,7";"1780";"11,5"
"Fryslân (PV)";"1995";"3184";"2882";"30,0";"2844";"28,8";"938";"6,8";"983";"7,2";"789";"5,2";"1708";"11,1"
"Fryslân (PV)";"1996";"3292";"2971";"30,3";"2958";"29,5";"971";"7,0";"1000";"7,3";"735";"4,8";"1788";"11,7"
"Fryslân (PV)";"1997";"3218";"2866";"28,8";"2854";"28,1";"981";"7,1";"1013";"7,4";"727";"4,8";"1702";"11,2"
"Fryslân (PV)";"1998";"3292";"2937";"29,1";"2934";"28,6";"956";"6,9";"995";"7,2";"722";"4,8";"1707";"11,2"
"Fryslân (PV)";"1999";"3323";"2992";"29,2";"2942";"28,4";"982";"7,1";"1026";"7,5";"760";"5,1";"1721";"11,3"
"Fryslân (PV)";"2000";"3219";"2924";"28,1";"2889";"27,4";"1069";"7,7";"1121";"8,1";"719";"4,8";"1735";"11,4"
"Fryslân (PV)";"2001";"2931";"2673";"25,0";"2637";"24,3";"1218";"8,8";"1227";"8,9";"754";"5,0";"1737";"11,4"
"Fryslân (PV)";"2002";"3125";"2836";"25,8";"2797";"25,2";"1013";"7,3";"1057";"7,7";"770";"5,1";"1676";"11,0"
"Fryslân (PV)";"2003";"3006";"2683";"24,0";"2644";"23,4";"935";"6,8";"943";"6,9";"708";"4,7";"1655";"10,9"
"Fryslân (PV)";"2004";"2795";"2518";"22,2";"2487";"21,8";"836";"6,1";"840";"6,2";"753";"5,0";"1617";"10,7"
"Fryslân (PV)";"2005";"2702";"2402";"20,8";"2400";"20,7";"900";"6,6";"909";"6,7";"762";"5,1";"1629";"10,8"
"Fryslân (PV)";"2006";"2795";"2545";"21,8";"2484";"21,2";"938";"7,0";"951";"7,1";"716";"4,8";"1631";"10,9"
"Fryslân (PV)";"2007";"2609";"2380";"20,1";"2366";"19,9";"953";"7,1";"981";"7,4";"745";"5,1";"1545";"10,3"
"Fryslân (PV)";"2008";"2847";"2545";"21,1";"2534";"21,1";"1008";"7,6";"1005";"7,6";"776";"5,3";"1575";"10,6"
"Fryslân (PV)";"2009";"2790";"2480";"20,3";"2468";"20,4";"937";"7,1";"959";"7,3";"709";"4,8";"1646";"11,1"
"Fryslân (PV)";"2010";"2555";"2316";"18,8";"2260";"18,6";"1105";"8,3";"1108";"8,4";"782";"5,4";"1605";"10,8"
"Fryslân (PV)";"2011";"2405";"2143";"17,2";"2115";"17,2";"1119";"8,5";"1134";"8,7";"759";"5,2";"1589";"10,8"
"Fryslân (PV)";"2012";"2365";"2103";"16,7";"2069";"16,8";"1093";"8,4";"1113";"8,6";"777";"5,4";"1636";"11,2"
"Fryslân (PV)";"2013";"2107";"1896";"14,8";"1849";"14,9";"1232";"9,5";"1261";"9,8";"769";"5,4";"1662";"11,4"
"Fryslân (PV)";"2014";"2131";"1934";"14,9";"1894";"15,1";"1195";"9,3";"1203";"9,5";"795";"5,6";"1619";"11,2"
