"";"";"Huwen|Huwelijkssluitingen|Totaal huwelijkssluitingen";"Huwen|Huwende personen|Huwende mannen";"Huwen|Huwende personen|Huwende mannen, relatief";"Huwen|Huwende personen|Huwende vrouwen";"Huwen|Huwende personen|Huwende vrouwen, relatief";"Van echt scheidende personen|Van echt scheidende mannen";"Van echt scheidende personen|Van echt scheidende mannen, relatief";"Van echt scheidende personen|Van echt scheidende vrouwen";"Van echt scheidende personen|Van echt scheidende vrouwen, relatief";"Verweduwende personen|Verweduwende mannen";"Verweduwende personen|Verweduwende mannen, relatief";"Verweduwende personen|Verweduwende vrouwen";"Verweduwende personen|Verweduwende vrouwen, relatief"
"Regio's";"Perioden";"aantal";"aantal";"per 1 000 niet-gehuwde mannen";"aantal";"per 1 000 niet-gehuwde vrouwen";"aantal";"per 1 000 gehuwde mannen";"aantal";"per 1 000 gehuwde vrouwen";"aantal";"per 1 000 gehuwde mannen";"aantal";"per 1 000 gehuwde vrouwen"
"Gelderland (PV)";"1990";"11308";"10965";"38,6";"11012";"34,3";"2601";"6,0";"2602";"6,1";"1983";"4,7";"5149";"12,2"
"Gelderland (PV)";"1991";"11196";"10663";"37,3";"10758";"33,4";"2715";"6,3";"2757";"6,4";"2002";"4,7";"5043";"11,8"
"Gelderland (PV)";"1992";"11176";"10763";"37,5";"10796";"33,4";"2848";"6,5";"2948";"6,8";"2035";"4,7";"5200";"12,1"
"Gelderland (PV)";"1993";"10807";"10301";"35,5";"10373";"31,9";"2869";"6,6";"2947";"6,8";"2093";"4,9";"5483";"12,7"
"Gelderland (PV)";"1994";"10234";"9730";"33,1";"9769";"29,8";"3356";"7,7";"3508";"8,0";"2098";"4,9";"5192";"12,0"
"Gelderland (PV)";"1995";"9740";"9484";"31,6";"9373";"28,2";"2982";"6,8";"3045";"7,0";"2050";"4,7";"5172";"11,9"
"Gelderland (PV)";"1996";"10103";"9730";"32,1";"9686";"28,9";"3108";"7,0";"3227";"7,4";"2097";"4,9";"5328";"12,3"
"Gelderland (PV)";"1997";"10147";"9828";"32,1";"9800";"29,1";"3187";"7,2";"3282";"7,5";"2149";"5,0";"5109";"11,8"
"Gelderland (PV)";"1998";"10379";"10044";"32,5";"9999";"29,5";"3122";"7,0";"3180";"7,2";"2185";"5,1";"5058";"11,6"
"Gelderland (PV)";"1999";"10814";"10504";"33,8";"10382";"30,5";"3398";"7,6";"3560";"8,0";"2189";"5,1";"5107";"11,7"
"Gelderland (PV)";"2000";"10461";"10031";"31,9";"9906";"28,9";"3501";"7,8";"3638";"8,2";"2149";"5,0";"5182";"11,9"
"Gelderland (PV)";"2001";"9441";"9225";"28,9";"9102";"26,2";"3770";"8,4";"3881";"8,7";"2238";"5,1";"5069";"11,6"
"Gelderland (PV)";"2002";"10035";"9683";"29,8";"9594";"27,2";"3627";"8,1";"3699";"8,3";"2308";"5,3";"5060";"11,6"
"Gelderland (PV)";"2003";"9300";"8972";"27,2";"8854";"24,8";"3279";"7,3";"3403";"7,7";"2239";"5,2";"5188";"11,9"
"Gelderland (PV)";"2004";"8575";"7911";"23,7";"8013";"22,2";"3330";"7,5";"3457";"7,8";"2188";"5,1";"4975";"11,4"
"Gelderland (PV)";"2005";"8420";"7972";"23,6";"7900";"21,6";"3290";"7,4";"3371";"7,7";"2214";"5,1";"5011";"11,5"
"Gelderland (PV)";"2006";"8446";"8071";"23,5";"8039";"21,7";"3381";"7,7";"3524";"8,1";"2155";"5,0";"4656";"10,7"
"Gelderland (PV)";"2007";"8487";"8100";"23,3";"8068";"21,5";"3406";"7,8";"3541";"8,1";"2083";"4,9";"4798";"11,1"
"Gelderland (PV)";"2008";"8920";"8384";"23,8";"8367";"22,1";"3507";"8,0";"3660";"8,4";"2192";"5,1";"4622";"10,7"
"Gelderland (PV)";"2009";"8468";"8157";"22,9";"8138";"21,2";"3307";"7,6";"3428";"7,9";"2167";"5,1";"4746";"11,0"
"Gelderland (PV)";"2010";"8241";"8010";"22,2";"7887";"20,4";"3572";"8,2";"3658";"8,5";"2322";"5,4";"4698";"10,8"
"Gelderland (PV)";"2011";"7965";"7821";"21,4";"7730";"19,8";"3568";"8,2";"3681";"8,6";"2276";"5,3";"4557";"10,5"
"Gelderland (PV)";"2012";"8080";"7931";"21,4";"7798";"19,7";"3720";"8,6";"3801";"8,9";"2333";"5,4";"4808";"11,1"
"Gelderland (PV)";"2013";"7249";"6961";"18,5";"6962";"17,4";"3753";"8,8";"3790";"8,9";"2262";"5,3";"4875";"11,3"
"Gelderland (PV)";"2014";"7432";"7182";"18,8";"7164";"17,7";"3900";"9,2";"3996";"9,4";"2302";"5,4";"4722";"11,0"
"Gelderland (PV)";"2015";"7533";"7250";"18,6";"7134";"17,4";"3743";"8,8";"3855";"9,1";"2483";"5,9";"4799";"11,2"
"Gelderland (PV)";"2016";"7490";"7179";"18,1";"7116";"17,1";"3691";"8,7";"3747";"8,9";"2367";"5,6";"4818";"11,2"
"Gelderland (PV)";"2017";"7353";"7065";"17,5";"7027";"16,7";"3699";"8,7";"3783";"9,0";"2519";"5,9";"4964";"11,6"
"Gelderland (PV)";"2018";"7245";"6974";"17,0";"6858";"16,1";"3497";"8,3";"3574";"8,5";"2576";"6,1";"5064";"11,8"
"Gelderland (PV)";"2019";"7136";"6925";"16,6";"6719";"15,5";"3346";"7,9";"3522";"8,4";"2716";"6,4";"5076";"11,8"
"Gelderland (PV)";"2020";"5777";"5610";"13,1";"5457";"12,3";"3355";"7,9";"3487";"8,3";"2799";"6,6";"5641";"13,1"
"Utrecht (PV)";"1988";"6207";"6207";"35,5";"6243";"29,1";"1829";"8,3";"1871";"8,5";"1024";"4,8";"2485";"11,6"
"Utrecht (PV)";"1989";"6750";"6664";"36,5";"6757";"30,2";"1915";"8,4";"1958";"8,6";"988";"4,5";"2695";"12,2"
"Utrecht (PV)";"1990";"7086";"7020";"38,4";"7042";"31,1";"1945";"8,4";"1999";"8,6";"1028";"4,6";"2616";"11,8"
"Utrecht (PV)";"1991";"6976";"6782";"36,7";"6928";"30,2";"1605";"6,9";"1649";"7,1";"1068";"4,8";"2677";"12,0"
"Utrecht (PV)";"1992";"6983";"6902";"37,1";"6968";"30,1";"2266";"9,6";"2310";"9,8";"1071";"4,8";"2560";"11,4"
"Utrecht (PV)";"1993";"6604";"6468";"34,3";"6610";"28,2";"1934";"8,2";"1947";"8,2";"1015";"4,5";"2696";"12,0"
"Utrecht (PV)";"1994";"6232";"6168";"32,3";"6181";"26,0";"2479";"10,4";"2510";"10,5";"1034";"4,6";"2630";"11,6"
"Utrecht (PV)";"1995";"5760";"5978";"30,9";"5901";"24,5";"2189";"9,2";"2257";"9,5";"1086";"4,8";"2676";"11,8"
"Utrecht (PV)";"1996";"6052";"6224";"31,6";"6168";"25,3";"2290";"9,6";"2431";"10,2";"1106";"4,9";"2742";"12,1"
"Utrecht (PV)";"1997";"6269";"6403";"31,9";"6314";"25,6";"2112";"8,8";"2174";"9,0";"1051";"4,6";"2526";"11,1"
"Utrecht (PV)";"1998";"6318";"6520";"32,0";"6449";"25,9";"2131";"8,8";"2230";"9,2";"1095";"4,8";"2718";"12,0"
"Utrecht (PV)";"1999";"6467";"6761";"32,6";"6676";"26,5";"2132";"8,8";"2144";"8,8";"1108";"4,9";"2711";"11,9"
"Utrecht (PV)";"2000";"6267";"6641";"31,6";"6551";"25,8";"2213";"9,0";"2259";"9,2";"1147";"5,0";"2634";"11,6"
"Utrecht (PV)";"2001";"5654";"6076";"28,4";"6008";"23,4";"2439";"9,9";"2501";"10,2";"1120";"4,9";"2639";"11,6"
"Utrecht (PV)";"2002";"5891";"6423";"29,1";"6332";"24,1";"2328";"9,3";"2293";"9,2";"1108";"4,8";"2566";"11,2"
"Utrecht (PV)";"2003";"5673";"6123";"27,3";"6062";"22,7";"2050";"8,2";"2102";"8,4";"1127";"4,9";"2500";"10,9"
"Utrecht (PV)";"2004";"5127";"5403";"23,8";"5421";"20,1";"2161";"8,6";"2166";"8,6";"1160";"5,1";"2533";"11,1"
"Utrecht (PV)";"2005";"5059";"5384";"23,4";"5366";"19,6";"2184";"8,7";"2246";"8,9";"1047";"4,6";"2355";"10,3"
"Utrecht (PV)";"2006";"5236";"5798";"24,7";"5678";"20,4";"2257";"8,9";"2285";"9,0";"1165";"5,1";"2390";"10,5"
"Utrecht (PV)";"2007";"5353";"5805";"24,2";"5751";"20,3";"2184";"8,6";"2239";"8,8";"1022";"4,5";"2310";"10,2"
"Utrecht (PV)";"2008";"5575";"6099";"24,9";"5980";"20,7";"2231";"8,8";"2303";"9,0";"1129";"4,9";"2339";"10,3"
"Utrecht (PV)";"2009";"5469";"5832";"23,5";"5802";"19,8";"2065";"8,1";"2151";"8,4";"1128";"4,9";"2371";"10,5"
"Utrecht (PV)";"2010";"5281";"5834";"23,1";"5739";"19,4";"2076";"8,1";"2182";"8,5";"1186";"5,2";"2420";"10,7"
"Utrecht (PV)";"2011";"5038";"5550";"21,7";"5494";"18,4";"2148";"8,4";"2230";"8,7";"1178";"5,1";"2411";"10,7"
"Utrecht (PV)";"2012";"5038";"5493";"21,2";"5363";"17,8";"2215";"8,6";"2262";"8,8";"1104";"4,8";"2444";"10,8"
"Utrecht (PV)";"2013";"4719";"5064";"19,2";"5007";"16,4";"2192";"8,5";"2239";"8,7";"1197";"5,2";"2476";"11,0"
"Utrecht (PV)";"2014";"4853";"5177";"19,2";"5164";"16,6";"2289";"8,9";"2361";"9,2";"1207";"5,3";"2402";"10,7"
"Utrecht (PV)";"2015";"4907";"5147";"18,7";"5125";"16,3";"2315";"9,0";"2393";"9,3";"1158";"5,1";"2521";"11,3"
"Utrecht (PV)";"2016";"5151";"5357";"19,1";"5350";"16,8";"2302";"9,0";"2415";"9,3";"1344";"5,9";"2511";"11,3"
"Utrecht (PV)";"2017";"4948";"5213";"18,2";"5115";"15,8";"2238";"8,7";"2315";"8,9";"1270";"5,6";"2505";"11,3"
"Utrecht (PV)";"2018";"4892";"5142";"17,5";"5050";"15,3";"2011";"7,8";"2093";"8,0";"1329";"5,9";"2613";"11,8"
"Utrecht (PV)";"2019";"4967";"5341";"17,5";"5250";"15,4";"2028";"7,5";"2088";"7,7";"1315";"5,7";"2587";"11,3"
"Utrecht (PV)";"2020";"4080";"4289";"13,9";"4155";"12,0";"2043";"7,6";"2163";"8,0";"1431";"6,2";"2876";"12,5"
"Noord-Holland (PV)";"1988";"14290";"15386";"30,9";"15173";"27,6";"5118";"10,3";"5199";"10,5";"2552";"4,6";"6566";"12,0"
"Noord-Holland (PV)";"1989";"14554";"15689";"31,1";"15485";"27,8";"5194";"10,5";"5232";"10,6";"2481";"4,5";"6615";"12,1"
"Noord-Holland (PV)";"1990";"15848";"17336";"34,3";"17075";"30,4";"5255";"10,5";"5334";"10,7";"2557";"4,6";"6536";"11,9"
"Noord-Holland (PV)";"1991";"15703";"16766";"32,6";"16444";"28,9";"5652";"11,3";"5673";"11,3";"2573";"4,6";"6244";"11,4"
"Noord-Holland (PV)";"1992";"15565";"16746";"32,2";"16459";"28,5";"5670";"11,2";"5775";"11,4";"2497";"4,5";"6429";"11,8"
"Noord-Holland (PV)";"1993";"14499";"15424";"29,4";"15281";"26,1";"6215";"12,3";"6265";"12,4";"2646";"4,8";"6668";"12,3"
"Noord-Holland (PV)";"1994";"13696";"14220";"26,9";"14167";"24,0";"6956";"13,8";"7098";"14,0";"2627";"4,8";"6410";"11,8"
"Noord-Holland (PV)";"1995";"11687";"12953";"24,5";"12599";"21,2";"6326";"12,6";"6520";"13,0";"2554";"4,7";"6369";"11,8"
"Noord-Holland (PV)";"1996";"12323";"13800";"25,8";"13345";"22,2";"6647";"13,4";"6831";"13,7";"2606";"4,8";"6301";"11,7"
"Noord-Holland (PV)";"1997";"12433";"13831";"25,7";"13457";"22,2";"6055";"12,3";"6334";"12,8";"2511";"4,6";"6097";"11,4"
"Noord-Holland (PV)";"1998";"12744";"14184";"26,1";"13759";"22,5";"5876";"11,9";"5875";"11,9";"2563";"4,7";"6075";"11,4"
"Noord-Holland (PV)";"1999";"12848";"14339";"26,1";"13965";"22,6";"5647";"11,4";"5820";"11,7";"2753";"5,1";"6089";"11,5"
"Noord-Holland (PV)";"2000";"12664";"14147";"25,5";"13712";"22,0";"5702";"11,5";"5811";"11,7";"2648";"4,9";"5987";"11,3"
"Noord-Holland (PV)";"2001";"11717";"13513";"24,0";"12599";"20,1";"5858";"11,8";"5943";"11,9";"2662";"5,0";"5930";"11,3"
"Noord-Holland (PV)";"2002";"12303";"14110";"24,8";"13380";"21,1";"5147";"10,3";"5280";"10,5";"2633";"4,9";"5832";"11,1"
"Noord-Holland (PV)";"2003";"11533";"12980";"22,6";"12345";"19,4";"4980";"9,9";"5058";"10,1";"2645";"4,9";"5836";"11,1"
"Noord-Holland (PV)";"2004";"10763";"12024";"20,8";"11521";"17,9";"5010";"10,0";"5126";"10,2";"2639";"5,0";"5674";"10,9"
"Noord-Holland (PV)";"2005";"10399";"11623";"19,9";"11270";"17,3";"4991";"10,0";"5149";"10,3";"2619";"5,0";"5570";"10,8"
"Noord-Holland (PV)";"2006";"10515";"11664";"19,8";"11194";"17,0";"4804";"9,6";"4928";"9,9";"2468";"4,7";"5437";"10,6"
"Noord-Holland (PV)";"2007";"11024";"12103";"20,3";"11700";"17,6";"5116";"10,3";"5172";"10,4";"2484";"4,8";"5634";"11,1"
"Noord-Holland (PV)";"2008";"11134";"12323";"20,3";"11912";"17,6";"4930";"10,0";"5130";"10,3";"2578";"5,0";"5453";"10,8"
"Noord-Holland (PV)";"2009";"10959";"12254";"19,9";"11822";"17,2";"4646";"9,4";"4794";"9,6";"2536";"4,9";"5458";"10,9"
"Noord-Holland (PV)";"2010";"10818";"12571";"20,1";"11872";"17,0";"5083";"10,2";"5199";"10,4";"2501";"4,9";"5515";"11,0"
"Noord-Holland (PV)";"2011";"10213";"11689";"18,4";"11219";"15,9";"5002";"10,0";"5123";"10,2";"2596";"5,1";"5239";"10,5"
"Noord-Holland (PV)";"2012";"9969";"11402";"17,7";"10983";"15,3";"4968";"9,9";"5053";"10,1";"2692";"5,3";"5403";"10,9"
"Noord-Holland (PV)";"2013";"9145";"10679";"16,3";"10082";"13,8";"5009";"10,0";"5158";"10,3";"2658";"5,2";"5513";"11,2"
"Noord-Holland (PV)";"2014";"9171";"10757";"16,1";"10182";"13,7";"5337";"10,6";"5520";"11,0";"2630";"5,2";"5264";"10,8"
"Noord-Holland (PV)";"2015";"9233";"10918";"16,0";"10318";"13,6";"5232";"10,4";"5345";"10,7";"2759";"5,5";"5757";"11,9"
"Noord-Holland (PV)";"2016";"9682";"11166";"16,0";"10566";"13,6";"5043";"10,0";"5188";"10,3";"2768";"5,6";"5597";"11,6"
"Noord-Holland (PV)";"2017";"9514";"10936";"15,3";"10331";"13,1";"4958";"9,8";"5095";"10,1";"2744";"5,5";"5503";"11,4"
"Noord-Holland (PV)";"2018";"9546";"11024";"15,2";"10449";"13,0";"4549";"9,0";"4760";"9,4";"2836";"5,7";"5595";"11,7"
"Noord-Holland (PV)";"2019";"9237";"10841";"14,6";"10112";"12,5";"4477";"8,8";"4629";"9,0";"2728";"5,5";"5572";"11,6"
"Noord-Holland (PV)";"2020";"7735";"8504";"11,4";"8227";"10,1";"4299";"8,4";"4461";"8,7";"2903";"5,9";"6267";"13,1"
"Zuid-Holland (PV)";"1988";"19396";"20791";"36,9";"20543";"33,4";"6823";"9,3";"6913";"9,4";"3445";"4,4";"9058";"11,7"
"Zuid-Holland (PV)";"1989";"19626";"20997";"37,0";"20799";"33,5";"6653";"9,1";"6713";"9,2";"3487";"4,5";"9297";"12,0"
"Zuid-Holland (PV)";"1990";"21057";"22664";"39,9";"22439";"36,0";"6818";"9,2";"6927";"9,4";"3476";"4,4";"9086";"11,7"
"Zuid-Holland (PV)";"1991";"21044";"22634";"39,3";"22470";"35,7";"6779";"9,1";"6847";"9,2";"3478";"4,4";"9031";"11,6"
"Zuid-Holland (PV)";"1992";"20453";"21889";"37,7";"21741";"34,3";"7267";"9,7";"7397";"9,9";"3591";"4,6";"8877";"11,4"
"Zuid-Holland (PV)";"1993";"19312";"20827";"35,5";"20642";"32,3";"7021";"9,3";"7189";"9,6";"3715";"4,7";"9408";"12,1"
"Zuid-Holland (PV)";"1994";"17531";"18565";"31,3";"18377";"28,5";"8649";"11,5";"8827";"11,7";"3692";"4,7";"8997";"11,6"
"Zuid-Holland (PV)";"1995";"15424";"17373";"29,0";"16861";"25,8";"8000";"10,7";"8195";"10,9";"3537";"4,5";"8943";"11,7"
"Zuid-Holland (PV)";"1996";"15772";"18046";"29,7";"17565";"26,5";"7623";"10,3";"7759";"10,4";"3675";"4,7";"9040";"11,9"
"Zuid-Holland (PV)";"1997";"16259";"18218";"29,7";"17919";"26,6";"7703";"10,4";"7872";"10,6";"3630";"4,7";"8858";"11,7"
"Zuid-Holland (PV)";"1998";"16228";"18173";"29,4";"17838";"26,2";"7166";"9,7";"7322";"9,9";"3697";"4,8";"8686";"11,5"
"Zuid-Holland (PV)";"1999";"16349";"18626";"29,8";"18203";"26,4";"7193";"9,8";"7377";"10,0";"3699";"4,9";"8680";"11,6"
"Zuid-Holland (PV)";"2000";"16023";"18468";"29,1";"17929";"25,6";"7352";"10,0";"7439";"10,0";"3891";"5,1";"8710";"11,7"
"Zuid-Holland (PV)";"2001";"14713";"16843";"26,0";"16301";"22,8";"8090";"11,0";"8171";"11,1";"3724";"4,9";"8682";"11,7"
"Zuid-Holland (PV)";"2002";"15194";"17481";"26,6";"16990";"23,5";"7151";"9,9";"7276";"10,0";"3678";"4,9";"8421";"11,5"
"Zuid-Holland (PV)";"2003";"14678";"16903";"25,4";"16379";"22,3";"6610";"9,1";"6774";"9,3";"3801";"5,1";"8466";"11,6"
"Zuid-Holland (PV)";"2004";"13840";"15190";"22,5";"15048";"20,2";"6504";"9,0";"6660";"9,1";"3654";"5,0";"8022";"11,1"
"Zuid-Holland (PV)";"2005";"13533";"15275";"22,4";"14853";"19,7";"6637";"9,2";"6858";"9,5";"3693";"5,1";"8013";"11,2"
"Zuid-Holland (PV)";"2006";"13697";"15679";"22,8";"15267";"20,0";"6707";"9,3";"6958";"9,6";"3544";"4,9";"7821";"11,1"
"Zuid-Holland (PV)";"2007";"14012";"15788";"22,6";"15494";"20,1";"6519";"9,1";"6747";"9,4";"3568";"5,0";"7779";"11,1"
"Zuid-Holland (PV)";"2008";"14669";"16513";"23,3";"16138";"20,6";"6689";"9,4";"6934";"9,7";"3579";"5,1";"7629";"11,0"
"Zuid-Holland (PV)";"2009";"14274";"16211";"22,4";"15814";"19,8";"6436";"9,0";"6597";"9,2";"3548";"5,0";"7524";"11,0"
"Zuid-Holland (PV)";"2010";"14473";"17098";"23,2";"16341";"20,2";"6648";"9,3";"6748";"9,4";"3538";"5,1";"7756";"11,4"
"Zuid-Holland (PV)";"2011";"14189";"16453";"22,0";"15929";"19,4";"6720";"9,4";"6948";"9,6";"3525";"5,0";"7399";"10,9"
"Zuid-Holland (PV)";"2012";"13585";"15628";"20,6";"15186";"18,3";"6787";"9,4";"7033";"9,7";"3548";"5,1";"7600";"11,2"
"Zuid-Holland (PV)";"2013";"12602";"14836";"19,4";"14276";"17,0";"6844";"9,5";"7176";"9,9";"3596";"5,2";"7427";"11,0"
"Zuid-Holland (PV)";"2014";"12734";"14770";"19,0";"14195";"16,6";"7322";"10,2";"7661";"10,6";"3565";"5,2";"7350";"11,0"
"Zuid-Holland (PV)";"2015";"12456";"14325";"18,0";"13703";"15,8";"7221";"10,1";"7530";"10,4";"3637";"5,3";"7566";"11,4"
"Zuid-Holland (PV)";"2016";"12617";"14458";"17,9";"13925";"15,8";"6893";"9,6";"7244";"10,0";"3744";"5,5";"7772";"11,7"
"Zuid-Holland (PV)";"2017";"12855";"14511";"17,6";"14056";"15,7";"6475";"9,0";"6792";"9,4";"3848";"5,7";"7703";"11,7"
"Zuid-Holland (PV)";"2018";"12289";"14275";"17,0";"13670";"15,0";"6193";"8,6";"6433";"8,9";"3846";"5,7";"7990";"12,1"
"Zuid-Holland (PV)";"2019";"12166";"14276";"16,8";"13628";"14,8";"6135";"8,6";"6480";"9,0";"3890";"5,8";"7789";"12,0"
"Zuid-Holland (PV)";"2020";"9822";"11111";"12,8";"10789";"11,5";"5893";"8,3";"6167";"8,6";"4129";"6,2";"8833";"13,7"
"Zeeland (PV)";"1988";"2091";"2023";"44,4";"1976";"41,7";"586";"6,8";"583";"6,8";"474";"4,5";"1046";"10,1"
"Zeeland (PV)";"1989";"2159";"2008";"43,3";"2039";"42,4";"572";"6,7";"605";"7,0";"474";"4,5";"1165";"11,2"
"Zeeland (PV)";"1990";"2207";"2126";"45,6";"2113";"44,0";"599";"7,0";"609";"7,1";"425";"4,0";"1067";"10,3"
"Zeeland (PV)";"1991";"2290";"2179";"46,2";"2173";"44,8";"585";"6,8";"596";"6,9";"443";"4,2";"1076";"10,3"
"Zeeland (PV)";"1992";"2193";"2116";"44,6";"2110";"43,3";"629";"7,3";"643";"7,4";"446";"4,2";"1134";"10,8"
"Zeeland (PV)";"1993";"1997";"1901";"39,3";"1910";"38,7";"633";"7,3";"645";"7,4";"488";"4,6";"1102";"10,4"
"Zeeland (PV)";"1994";"2057";"1979";"40,4";"1950";"39,0";"791";"9,1";"812";"9,3";"470";"4,4";"1057";"10,0"
"Zeeland (PV)";"1995";"1827";"1829";"36,8";"1771";"35,0";"583";"6,7";"626";"7,1";"448";"4,2";"1103";"10,5"
"Zeeland (PV)";"1996";"1910";"1872";"37,1";"1845";"35,9";"794";"9,1";"792";"9,0";"475";"4,5";"1143";"10,9"
"Zeeland (PV)";"1997";"1877";"1790";"35,0";"1806";"34,7";"620";"7,1";"638";"7,3";"443";"4,2";"1070";"10,2"
"Zeeland (PV)";"1998";"1894";"1823";"35,2";"1807";"34,6";"663";"7,6";"696";"7,9";"483";"4,6";"1103";"10,5"
"Zeeland (PV)";"1999";"1946";"1885";"36,2";"1848";"35,2";"762";"8,8";"815";"9,3";"460";"4,4";"1126";"10,8"
"Zeeland (PV)";"2000";"1798";"1769";"33,3";"1722";"32,3";"751";"8,6";"787";"9,1";"459";"4,3";"1113";"10,6"
"Zeeland (PV)";"2001";"1671";"1670";"30,6";"1618";"29,6";"900";"10,4";"922";"10,7";"478";"4,5";"1144";"10,9"
"Zeeland (PV)";"2002";"1846";"1789";"32,1";"1762";"31,5";"773";"9,0";"768";"8,9";"499";"4,7";"1160";"11,2"
"Zeeland (PV)";"2003";"1776";"1757";"30,9";"1696";"29,9";"703";"8,2";"706";"8,2";"463";"4,4";"1058";"10,2"
"Zeeland (PV)";"2004";"1688";"1632";"28,2";"1596";"27,7";"703";"8,2";"719";"8,4";"440";"4,2";"1086";"10,6"
"Zeeland (PV)";"2005";"1623";"1553";"26,3";"1514";"25,8";"745";"8,8";"763";"9,0";"474";"4,6";"1125";"11,1"
"Zeeland (PV)";"2006";"1638";"1591";"26,4";"1518";"25,3";"759";"9,0";"782";"9,3";"450";"4,4";"1063";"10,6"
"Zeeland (PV)";"2007";"1694";"1681";"27,4";"1632";"26,8";"701";"8,4";"694";"8,2";"450";"4,4";"1026";"10,3"
"Zeeland (PV)";"2008";"1808";"1752";"28,2";"1718";"28,0";"752";"9,0";"757";"9,0";"469";"4,7";"1050";"10,6"
"Zeeland (PV)";"2009";"1752";"1701";"27,0";"1659";"26,9";"701";"8,4";"699";"8,4";"462";"4,6";"1000";"10,1"
"Zeeland (PV)";"2010";"1758";"1755";"27,6";"1721";"27,8";"729";"8,7";"736";"8,8";"518";"5,2";"1064";"10,8"
"Zeeland (PV)";"2011";"1649";"1561";"24,3";"1531";"24,5";"719";"8,6";"732";"8,8";"480";"4,8";"1043";"10,6"
"Zeeland (PV)";"2012";"1669";"1607";"24,9";"1589";"25,3";"771";"9,3";"790";"9,5";"471";"4,7";"1068";"10,9"
"Zeeland (PV)";"2013";"1418";"1388";"21,3";"1353";"21,3";"754";"9,1";"765";"9,2";"469";"4,8";"1096";"11,3"
"Zeeland (PV)";"2014";"1515";"1463";"22,1";"1432";"22,2";"823";"10,0";"826";"10,1";"435";"4,5";"997";"10,3"
"Zeeland (PV)";"2015";"1478";"1458";"21,7";"1411";"21,6";"771";"9,5";"818";"10,0";"490";"5,1";"1072";"11,2"
"Zeeland (PV)";"2016";"1551";"1501";"22,1";"1465";"22,2";"801";"9,9";"805";"9,9";"495";"5,2";"1025";"10,8"
"Zeeland (PV)";"2017";"1372";"1352";"19,6";"1330";"19,9";"709";"8,8";"716";"8,8";"504";"5,3";"1030";"10,9"
"Zeeland (PV)";"2018";"1439";"1398";"20,0";"1372";"20,2";"734";"9,1";"811";"10,0";"536";"5,6";"1139";"12,0"
"Zeeland (PV)";"2019";"1285";"1308";"18,5";"1252";"18,2";"695";"8,7";"714";"8,9";"560";"5,9";"1097";"11,6"
"Zeeland (PV)";"2020";"1116";"1094";"15,2";"1059";"15,1";"619";"7,7";"624";"7,8";"554";"5,8";"1147";"12,1"
"Noord-Brabant (PV)";"1988";"12770";"12793";"37,8";"12837";"36,3";"3667";"6,6";"3767";"6,9";"2162";"4,9";"5313";"11,7"
"Noord-Brabant (PV)";"1989";"13332";"13258";"38,3";"13292";"36,8";"3732";"6,7";"3804";"6,9";"2269";"5,1";"5378";"11,7"
"Noord-Brabant (PV)";"1990";"13856";"13691";"39,4";"13782";"38,1";"3745";"6,7";"3858";"7,0";"2257";"5,0";"5378";"11,6"
"Noord-Brabant (PV)";"1991";"13841";"13723";"39,0";"13747";"37,7";"3759";"6,7";"3846";"6,9";"2352";"5,1";"5621";"11,9"
"Noord-Brabant (PV)";"1992";"13613";"13437";"37,8";"13480";"36,6";"4066";"7,2";"4120";"7,4";"2299";"4,9";"5508";"11,5"
"Noord-Brabant (PV)";"1993";"12554";"12508";"34,6";"12527";"33,6";"3838";"6,8";"3891";"7,0";"2445";"5,2";"5745";"11,9"
"Noord-Brabant (PV)";"1994";"11994";"11780";"32,1";"11741";"31,1";"4387";"7,8";"4520";"8,1";"2397";"5,0";"5729";"11,7"
"Noord-Brabant (PV)";"1995";"11310";"11666";"31,2";"11518";"29,9";"4452";"7,9";"4567";"8,2";"2420";"5,1";"5898";"12,0"
"Noord-Brabant (PV)";"1996";"11735";"12120";"31,8";"11927";"30,4";"4521";"8,0";"4694";"8,4";"2414";"5,0";"5944";"12,1"
"Noord-Brabant (PV)";"1997";"11643";"12033";"31,1";"11910";"29,9";"4305";"7,7";"4495";"8,1";"2413";"5,0";"5798";"11,7"
"Noord-Brabant (PV)";"1998";"11918";"12254";"31,2";"12094";"30,0";"4322";"7,7";"4451";"8,0";"2464";"5,0";"5765";"11,5"
"Noord-Brabant (PV)";"1999";"12170";"12479";"31,4";"12358";"30,2";"4622";"8,2";"4718";"8,5";"2613";"5,3";"5916";"11,7"
"Noord-Brabant (PV)";"2000";"11951";"12377";"30,7";"12170";"29,3";"4947";"8,8";"5089";"9,1";"2620";"5,3";"5873";"11,5"
"Noord-Brabant (PV)";"2001";"11189";"11814";"28,8";"11501";"27,2";"5200";"9,3";"5338";"9,6";"2664";"5,3";"5767";"11,2"
"Noord-Brabant (PV)";"2002";"11293";"11946";"28,6";"11645";"27,1";"4500";"8,0";"4595";"8,3";"2724";"5,4";"5917";"11,4"
"Noord-Brabant (PV)";"2003";"10617";"11070";"26,2";"10894";"25,1";"4317";"7,8";"4479";"8,1";"2732";"5,4";"5865";"11,3"
"Noord-Brabant (PV)";"2004";"9715";"9948";"23,3";"9861";"22,4";"4320";"7,8";"4494";"8,2";"2690";"5,3";"5696";"10,9"
