"Regio";"Perioden";"Marriages";"Divorced men";"Divorced woman";"Widowed man";"Widowed woman"
"Gelderland (PV)";"2007";"8487";"3406";"3541";"2083";"4798"
"Gelderland (PV)";"2008";"8920";"3507";"3660";"2192";"4622"
"Gelderland (PV)";"2009";"8468";"3307";"3428";"2167";"4746"
"Gelderland (PV)";"2010";"8241";"3572";"3658";"2322";"4698"
"Gelderland (PV)";"2011";"7965";"3568";"3681";"2276";"4557"
"Gelderland (PV)";"2012";"8080";"3720";"3801";"2333";"4808"
"Gelderland (PV)";"2013";"7249";"3753";"3790";"2262";"4875"
"Gelderland (PV)";"2014";"7432";"3900";"3996";"2302";"4722"
"Gelderland (PV)";"2015";"7533";"3743";"3855";"2483";"4799"
"Gelderland (PV)";"2016";"7490";"3691";"3747";"2367";"4818"
"Utrecht (PV)";"2000";"6267";"2213";"2259";"1147";"2634"
"Utrecht (PV)";"2001";"5654";"2439";"2501";"1120";"2639"
"Utrecht (PV)";"2002";"5891";"2328";"2293";"1108";"2566"
"Utrecht (PV)";"2003";"5673";"2050";"2102";"1127";"2500"
"Utrecht (PV)";"2004";"5127";"2161";"2166";"1160";"2533"
"Utrecht (PV)";"2005";"5059";"2184";"2246";"1047";"2355"
"Utrecht (PV)";"2006";"5236";"2257";"2285";"1165";"2390"
"Utrecht (PV)";"2007";"5353";"2184";"2239";"1022";"2310"
"Utrecht (PV)";"2008";"5575";"2231";"2303";"1129";"2339"
"Utrecht (PV)";"2009";"5469";"2065";"2151";"1128";"2371"
"Utrecht (PV)";"2010";"5281";"2076";"2182";"1186";"2420"
"Utrecht (PV)";"2011";"5038";"2148";"2230";"1178";"2411"
"Utrecht (PV)";"2012";"5038";"2215";"2262";"1104";"2444"
"Utrecht (PV)";"2013";"4719";"2192";"2239";"1197";"2476"
"Utrecht (PV)";"2014";"4853";"2289";"2361";"1207";"2402"
"Utrecht (PV)";"2015";"4907";"2315";"2393";"1158";"2521"
"Utrecht (PV)";"2016";"5151";"2302";"2415";"1344";"2511"
"Noord-Holland (PV)";"2000";"12664";"5702";"5811";"2648";"5987"
"Noord-Holland (PV)";"2001";"11717";"5858";"5943";"2662";"5930"
"Noord-Holland (PV)";"2002";"12303";"5147";"5280";"2633";"5832"
"Noord-Holland (PV)";"2003";"11533";"4980";"5058";"2645";"5836"
"Noord-Holland (PV)";"2004";"10763";"5010";"5126";"2639";"5674"
"Noord-Holland (PV)";"2005";"10399";"4991";"5149";"2619";"5570"
"Noord-Holland (PV)";"2006";"10515";"4804";"4928";"2468";"5437"
"Noord-Holland (PV)";"2007";"11024";"5116";"5172";"2484";"5634"
"Noord-Holland (PV)";"2008";"11134";"4930";"5130";"2578";"5453"
