Values
1551.0
1572.0
1516.0
1526.0
1468.0
1386.0
1412.0
1405.0
1363.0
1401.0
1371.0
1366.0
1496.0
1331.0
1349.0
1383.0
1324.0
1735.0
1737.0
1676.0
1655.0
1617.0
1629.0
1631.0
1545.0
1575.0
1646.0
1605.0
1589.0
1636.0
1662.0
1619.0
1695.0
1691.0
1459.0
1364.0
1493.0
1379.0
1301.0
1343.0
1299.0
1327.0
1387.0
1304.0
1396.0
1291.0
1376.0
1402.0
1260.0
1367.0
1363.0
2996.0
2897.0
2978.0
2887.0
2819.0
2783.0
2748.0
2590.0
2629.0
2694.0
2643.0
2568.0
2661.0
2759.0
2626.0
2713.0
2738.0
574.0
540.0
639.0
669.0
590.0
604.0
681.0
608.0
558.0
640.0
644.0
672.0
624.0
670.0
651.0
634.0
686.0
5182.0
5069.0
5060.0
5188.0
4975.0
5011.0
4656.0
4798.0
4622.0
4746.0
4698.0
4557.0
4808.0
4875.0
4722.0
4799.0
4818.0
2634.0
2639.0
2566.0
2500.0
2533.0
2355.0
2390.0
2310.0
2339.0
2371.0
2420.0
2411.0
2444.0
2476.0
2402.0
2521.0
2511.0
5987.0
5930.0
5832.0
5836.0
5674.0
5570.0
5437.0
5634.0
5453.0
5458.0
5515.0
5239.0
5403.0
5513.0
5264.0
5757.0
5597.0
8710.0
8682.0
8421.0
8466.0
8022.0
8013.0
7821.0
7779.0
7629.0
7524.0
7756.0
7399.0
7600.0
7427.0
7350.0
7566.0
7772.0
1113.0
1144.0
1160.0
1058.0
1086.0
1125.0
1063.0
1026.0
1050.0
1000.0
1064.0
1043.0
1068.0
1096.0
997.0
1072.0
1025.0
5873.0
5767.0
5917.0
5865.0
5696.0
5699.0
5708.0
5579.0
5568.0
5646.0
5734.0
5636.0
5804.0
5692.0
5777.0
5815.0
6105.0
3249.0
3248.0
3209.0
3211.0
3139.0
3095.0
3043.0
3003.0
2932.0
3023.0
3008.0
2899.0
3001.0
2994.0
2940.0
3154.0
3094.0
