Values
2564.0
2423.0
2496.0
2379.0
2287.0
2215.0
2176.0
2164.0
2382.0
2277.0
2209.0
1980.0
2086.0
1755.0
1740.0
1708.0
1700.0
3219.0
2931.0
3125.0
3006.0
2795.0
2702.0
2795.0
2609.0
2847.0
2790.0
2555.0
2405.0
2365.0
2107.0
2131.0
2106.0
2126.0
2232.0
2062.0
2116.0
2012.0
1860.0
1891.0
1803.0
1881.0
1925.0
1865.0
1800.0
1814.0
1709.0
1521.0
1568.0
1504.0
1462.0
5479.0
5210.0
5467.0
5238.0
4686.0
4768.0
4798.0
4729.0
4806.0
4618.0
4706.0
4404.0
4305.0
3936.0
4157.0
3870.0
3902.0
1192.0
1237.0
1241.0
1277.0
1182.0
1264.0
1243.0
1283.0
1448.0
1473.0
1410.0
1384.0
1414.0
1242.0
1259.0
1273.0
1279.0
10461.0
9441.0
10035.0
9300.0
8575.0
8420.0
8446.0
8487.0
8920.0
8468.0
8241.0
7965.0
8080.0
7249.0
7432.0
7533.0
7490.0
6267.0
5654.0
5891.0
5673.0
5127.0
5059.0
5236.0
5353.0
5575.0
5469.0
5281.0
5038.0
5038.0
4719.0
4853.0
4907.0
5151.0
12664.0
11717.0
12303.0
11533.0
10763.0
10399.0
10515.0
11024.0
11134.0
10959.0
10818.0
10213.0
9969.0
9145.0
9171.0
9233.0
9682.0
16023.0
14713.0
15194.0
14678.0
13840.0
13533.0
13697.0
14012.0
14669.0
14274.0
14473.0
14189.0
13585.0
12602.0
12734.0
12456.0
12617.0
1798.0
1671.0
1846.0
1776.0
1688.0
1623.0
1638.0
1694.0
1808.0
1752.0
1758.0
1649.0
1669.0
1418.0
1515.0
1478.0
1551.0
11951.0
11189.0
11293.0
10617.0
9715.0
9605.0
9491.0
9588.0
10058.0
9448.0
9605.0
9039.0
9096.0
7994.0
8175.0
8266.0
8400.0
5588.0
4860.0
5309.0
4703.0
4282.0
4352.0
4215.0
4292.0
4382.0
4170.0
4195.0
4089.0
3880.0
3373.0
3503.0
3511.0
3424.0
